1,Ionescu,Alexandru,5001130470035,2000-11-30,alexi@gmail.com,0767309787
2,Popescu,Mircea,5001228470036,1999-12-28,mirceap@gmail.com,0768904787
3,Iancu,Daniel,5001120470034,2001-11-20,danieli@gmail.com,0757349287
4,Georgescu,Andrei,5001130470073,2000-11-30,andreig@gmail.com,0757349298
5,Pavel,Ioana,6001230470035,2000-12-30,ioanap@gmail.com,0767309779
6,Petru,Alex,5001021470034,2000-10-21,alexp@gmail.com,0757579287
7,Ionescu,Florentin,5000820470073,2000-08-20,florentini@gmail.com,0767359398
8,Vasilescu,Andrei,5000821470073,2000-08-21,vasilescua@gmail.com,0757579289
9,Cretu,Bogdan,5990615470035,1999-06-15,bogdanc@gmail.com,0717679269
10,Iliescu,Ion,5800617470035,1980-06-17,iliescu@gmail.com,0714772269
11,Dima,Mihai,5000822470043,2000-08-22,dima@gmail.com,0747329687
12,Cotoia,Razvan,5001021470073,2000-10-21,cotoia@gmail.com,0724572469
13,Lupoae,Vlad,5000520470073,2000-05-20,lupoaev@gmail.com,0747349887
14,Mustatoiu,George,5001011470035,2000-10-11,georgem@gmail.com,0766204487
15,Ifrosa,Diana,6001110470034,2000-11-10,dianai@gmail.com,0724471469
16,Oanea,Tudor,5000720470074,2000-07-20,tudoro@gmail.com,0742429587
17,Luta,Vlad,5000411470074,2000-04-11,lutav@gmail.com,0715732262
18,Gatej,Andrei,5000518474073,2000-05-18,gateja@gmail.com,0786773456
19,Dascalu,Mara,6001112470036,2000-11-12,marad@gmail.com,0766104447
20,Pop,Ana,6001212470036,2000-12-12,anaP@gmail.com,0745329687
